********************************************************************************
product = Open Liberty 25.0.0.3 (wlp-1.0.99.cl250320250310-1902)
wlp.install.dir = E:/2025/jakartaee-open-liberty/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-21
java.version = 21.0.5
java.runtime = Java(TM) SE Runtime Environment (21.0.5+9-LTS-239)
os = Windows 10 (10.0; amd64) (es_BO)
process = 4392@DESKTOP-GINSRT1
Classpath = E:\2025\jakartaee-open-liberty\target\liberty\wlp\bin\tools\ws-server.jar
Java Library path = C:\Program Files\Java\jdk-21\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static;C:\Program Files\Git\cmd;C:\Program Files\Java\jdk-21\bin;C:\Program Files\PostgreSQL\16\bin;C:\Users\IE-pc3\AppData\Local\Microsoft\WindowsApps;C:\Users\IE-pc3\AppData\Local\spicetify;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.3.5\bin;;C:\Program Files\heroku\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2024.3.3\bin;;C:\Program Files\Java\jdk-21\bin;C:\Program Files\Git\cmd\git.exe;;.
********************************************************************************
[25/3/25, 19:10:06:709 VET] 00000034 com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web jakartaee-open-liberty se ha enlazado con default_host.
[25/3/25, 19:10:06:712 VET] 00000034 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://desktop-ginsrt1:9080/
[25/3/25, 19:10:06:803 VET] 00000033 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/
[25/3/25, 19:10:06:815 VET] 00000033 com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[25/3/25, 19:10:07:030 VET] 00000033 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: La memoria caché dinámica (memoria caché de objeto) se ha inicializado correctamente.
[25/3/25, 19:10:07:057 VET] 00000033 org.apache.myfaces.webapp.MyFacesContainerInitializer        I Using io.openliberty.faces40.internal.ee.WASMyFacesContainerInitializer
[25/3/25, 19:10:07:341 VET] 00000033 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: La aplicación jakartaee-open-liberty se ha iniciado en 9,574 segundos.
[25/3/25, 19:10:07:383 VET] 00000034 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Se ha generado automáticamente un archivo de configuración para un plug-in de servidor web para este servidor en E:\2025\jakartaee-open-liberty\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[25/3/25, 19:10:07:451 VET] 0000002f com.ibm.ws.tcpchannel.internal.TCPPort                       I CWWKO0219I: El canal TCP defaultHttpEndpoint se ha iniciado y ahora está a la escucha de solicitudes en el host *  (IPv6) puerto 9080.
[25/3/25, 19:10:07:456 VET] 0000002f com.ibm.ws.tcpchannel.internal.TCPPort                       I CWWKO0219I: El canal TCP defaultHttpEndpoint-ssl se ha iniciado y ahora está a la escucha de solicitudes en el host *  (IPv6) puerto 9443.
